"fname","Type","Name","RA_ICRS","DE_ICRS","AllNames"
"ads16795","m","ADS_16795",352.59216492,58.55341329,"ADS_16795,AR_Cas"
"ah03j0748269","o","AH03_J0748-26.9",117.1558869,-26.97267949,"AH03_J0748+26.9,AH03_J0748-26.9,AH03_J0748_26.9,FSR_1315,MWSC_1347,MWSC_1348"
"ascc5","o","ASCC_5",14.46908222,55.82917381,"ASCC_5,MWSC_93"
"ascc6","o","ASCC_6",26.84215882,57.73860678,"ASCC_6,MWSC_141,Theia_2326"
"ascc9","o","ASCC_9",41.62390108,57.77684685,"ASCC_9,Theia_1659"
"ascc11","o","ASCC_11",53.05042398,44.84076681,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152"
"ascc12","o","ASCC_12",72.42059742,41.71429711,"ASCC_12,MWSC_427"
"ascc13","o","ASCC_13",78.22066967,44.36502692,"ASCC_13,MWSC_486,Theia_2043"
"ascc14","o","ASCC_14",80.00385802,35.22905658,"ASCC_14,MWSC_507"
"ascc18","m","ASCC_18",81.33025179,0.36762755,"ASCC_18,MWSC_541,OCSN_58"
"ascc19","o","ASCC_19",81.97812989,-1.8560224,"ASCC_19"
"ascc20","o","ASCC_20",82.19355425,1.72130405,"ASCC_20,OCSN_57"
"ascc21","o","ASCC_21",82.21204038,3.60658547,"ASCC_21"
"ascc23","o","ASCC_23",95.02982828,46.68569526,"ASCC_23,FSR_746,Ferrero_16,MWSC_839,Theia_552"
"ascc24","m","ASCC_24",97.26088906,-7.03519235,"ASCC_24,Alessi_47,MWSC_875"
"ascc27","o","ASCC_27",103.51203969,-4.51159597,"ASCC_27,MWSC_1009"
"ascc28","o","ASCC_28",103.45291027,-0.1287823,"ASCC_28,MWSC_1011"
"ascc29","o","ASCC_29",103.58953286,-1.66867729,"ASCC_29,MWSC_1013,Theia_2521"
"ascc30","o","ASCC_30",104.23729253,-6.21213759,"ASCC_30,Alessi_35,MWSC_1028"
"ascc33","m","ASCC_33",105.45444654,-24.43701314,"ASCC_33,MWSC_1077,Theia_239"
"ascc36","o","ASCC_36",108.6233592,-21.10056525,"ASCC_36,MWSC_1151"
"ascc45","o","ASCC_45",124.14491525,-35.65482525,"ASCC_45,MWSC_1460,Theia_2131"
"ascc51","o","ASCC_51",140.3967267,-69.8552943,"ASCC_51,MWSC_1647,Theia_185,Theia_245,Theia_966,UBC_260"
"ascc52","m","ASCC_52",141.8228284,-54.50968599,"ASCC_52,MWSC_1672,Theia_4502"
"ascc58","o","ASCC_58",153.70559195,-55.02031159,"ASCC_58,MWSC_1782,Theia_453"
"ascc59","m","ASCC_59",155.39603909,-57.67908029,"ASCC_59,MWSC_1793"
"ascc60","o","ASCC_60",158.17090211,-58.63124986,"ASCC_60,CWNU_2275,MWSC_1823"
"ascc61","o","ASCC_61",161.59049343,-57.04482418,"ASCC_61,Gulliver_1,MWSC_1853"
"ascc62","o","ASCC_62",162.76183505,-60.08322363,"ASCC_62,MWSC_1859,Theia_2151,UBC_263"
"ascc63","o","ASCC_63",164.0968243,-60.47665098,"ASCC_63,MWSC_1869,UBC_508"
"ascc65","o","ASCC_65",167.83398675,-61.16702171,"ASCC_65,MWSC_1909"
"ascc66","o","ASCC_66",168.34376049,-55.42612746,"ASCC_66,MWSC_1922"
"ascc67","o","ASCC_67",175.37530127,-61.05654916,"ASCC_67,MWSC_1963,OC_0569"
"ascc69","m","ASCC_69",181.59366412,-69.85703281,"ASCC_69,MWSC_1996"
"ascc71","o","ASCC_71",185.1690943,-67.52149108,"ASCC_71,MWSC_2016"
"ascc72","o","ASCC_72",193.76376292,-61.05354969,"ASCC_72,CWNU_231,MWSC_2044,UBC_1517"
"ascc73","m","ASCC_73",189.29220321,-67.21018149,"ASCC_73,MWSC_2053,Theia_1076,Theia_1162,Theia_246,Theia_338"
"ascc75","o","ASCC_75",206.93197947,-62.4524761,"ASCC_75,CWNU_2237,MWSC_2163"
