"Name","Type"
"ASCC_123            ","m"
"Alessi_59           ","m"
"Alessi_145          ","m"
"COIN-Gaia_13        ","m"
"CWNU_2136           ","m"
"ESO_092-92          ","m"
"HSC_1               ","m"
"HSC_58              ","m"
"HSC_61              ","m"
"HSC_77              ","m"
"HSC_81              ","m"
"HSC_95              ","m"
"HSC_119             ","m"
"HSC_132             ","m"
"HSC_247             ","m"
"HSC_280             ","m"
"HSC_287             ","m"
"HSC_299             ","m"
"HSC_303             ","m"
"HSC_319             ","m"
"HSC_331             ","m"
"HSC_341             ","m"
"HSC_344             ","m"
"HSC_357             ","m"
"HSC_420             ","m"
"HSC_423             ","m"
"HSC_442             ","m"
"HSC_453             ","m"
"HSC_500             ","m"
"HSC_502             ","m"
"HSC_509             ","m"
"HSC_555             ","m"
"HSC_565             ","m"
"HSC_568             ","m"
"HSC_631             ","m"
"HSC_633             ","m"
"HSC_650             ","m"
"HSC_683             ","m"
"HSC_688             ","m"
"HSC_695             ","m"
"HSC_701             ","m"
"HSC_722             ","m"
"HSC_764             ","m"
"HSC_780             ","m"
"HSC_781             ","m"
"HSC_802             ","m"
"HSC_820             ","m"
"HSC_867             ","m"
"HSC_895             ","m"
"HSC_897             ","m"
"HSC_908             ","m"
"HSC_910             ","m"
"HSC_939             ","m"
"HSC_955             ","m"
"HSC_958             ","m"
"HSC_979             ","m"
"HSC_984             ","m"
"HSC_1030            ","m"
"HSC_1033            ","m"
"HSC_1047            ","m"
"HSC_1058            ","m"
"HSC_1097            ","m"
"HSC_1122            ","m"
"HSC_1142            ","m"
"HSC_1148            ","m"
"HSC_1181            ","m"
"HSC_1214            ","m"
"HSC_1224            ","m"
"HSC_1261            ","m"
"HSC_1269            ","m"
"HSC_1284            ","m"
"HSC_1288            ","m"
"HSC_1295            ","m"
"HSC_1303            ","m"
"HSC_1316            ","m"
"HSC_1317            ","m"
"HSC_1326            ","m"
"HSC_1345            ","m"
"HSC_1355            ","m"
"HSC_1359            ","m"
"HSC_1363            ","m"
"HSC_1368            ","m"
"HSC_1373            ","m"
"HSC_1423            ","m"
"HSC_1424            ","m"
"HSC_1425            ","m"
"HSC_1447            ","m"
"HSC_1448            ","m"
"HSC_1454            ","m"
"HSC_1478            ","m"
"HSC_1488            ","m"
"HSC_1493            ","m"
"HSC_1494            ","m"
"HSC_1520            ","m"
"HSC_1525            ","m"
"HSC_1541            ","m"
"HSC_1543            ","m"
"HSC_1554            ","m"
"HSC_1593            ","m"
"HSC_1602            ","m"
"HSC_1637            ","m"
"HSC_1646            ","m"
"HSC_1694            ","m"
"HSC_1711            ","m"
"HSC_1733            ","m"
"HSC_1743            ","m"
"HSC_1746            ","m"
"HSC_1768            ","m"
"HSC_1795            ","m"
"HSC_1802            ","m"
"HSC_1837            ","m"
"HSC_1868            ","m"
"HSC_1890            ","m"
"HSC_1891            ","m"
"HSC_1895            ","m"
"HSC_1899            ","m"
"HSC_1923            ","m"
"HSC_1964            ","m"
"HSC_1982            ","m"
"HSC_1986            ","m"
"HSC_2016            ","m"
"HSC_2061            ","m"
"HSC_2065            ","m"
"HSC_2138            ","m"
"HSC_2164            ","m"
"HSC_2186            ","m"
"HSC_2196            ","m"
"HSC_2201            ","m"
"HSC_2207            ","m"
"HSC_2243            ","m"
"HSC_2250            ","m"
"HSC_2265            ","m"
"HSC_2267            ","m"
"HSC_2291            ","m"
"HSC_2310            ","m"
"HSC_2316            ","m"
"HSC_2340            ","m"
"HSC_2346            ","m"
"HSC_2360            ","m"
"HSC_2379            ","m"
"HSC_2387            ","m"
"HSC_2400            ","m"
"HSC_2407            ","m"
"HSC_2439            ","m"
"HSC_2440            ","m"
"HSC_2444            ","m"
"HSC_2445            ","m"
"HSC_2448            ","m"
"HSC_2451            ","m"
"HSC_2453            ","m"
"HSC_2455            ","m"
"HSC_2465            ","m"
"HSC_2473            ","m"
"HSC_2475            ","m"
"HSC_2483            ","m"
"HSC_2487            ","m"
"HSC_2492            ","m"
"HSC_2496            ","m"
"HSC_2497            ","m"
"HSC_2500            ","m"
"HSC_2501            ","m"
"HSC_2516            ","m"
"HSC_2517            ","m"
"HSC_2522            ","m"
"HSC_2563            ","m"
"HSC_2573            ","m"
"HSC_2574            ","m"
"HSC_2588            ","m"
"HSC_2593            ","m"
"HSC_2597            ","m"
"HSC_2608            ","m"
"HSC_2694            ","m"
"HSC_2700            ","m"
"HSC_2812            ","m"
"HSC_2838            ","m"
"HSC_2846            ","m"
"HSC_2865            ","m"
"HSC_2873            ","m"
"HSC_2887            ","m"
"HSC_2938            ","m"
"HSC_2942            ","m"
"HSC_2949            ","m"
"HSC_2953            ","m"
"HSC_2969            ","m"
"HSC_2973            ","m"
"HSC_2975            ","m"
"MWSC_5365           ","m"
"NGC_2202            ","m"
"OC_0473             ","m"
"OCSN_6              ","m"
"OCSN_49             ","m"
"OCSN_88             ","m"
"OCSN_99             ","m"
"Palomar_5           ","m"
"Palomar_6           ","m"
"Palomar_15          ","m"
"Ruprecht_106        ","m"
"Theia_53            ","m"
"Theia_78            ","m"
"Theia_169           ","m"
"Theia_272           ","m"
"Theia_282           ","m"
"Theia_379           ","m"
"Theia_390           ","m"
"Theia_401           ","m"
"Theia_439           ","m"
"Theia_654           ","m"
"Theia_714           ","m"
"Theia_943           ","m"
"Theia_1465          ","m"
"Theia_1661          ","m"
"Theia_1966          ","m"
"Theia_2725          ","m"
"Theia_2999          ","m"
"Theia_3048          ","m"
"Theia_3250          ","m"
"Theia_3318          ","m"
"Theia_3397          ","m"
"Theia_3623          ","m"
"Theia_4560          ","m"
"Theia_5150          ","m"
"Theia_6015          ","m"
"Theia_6046          ","m"
"Theia_6999          ","m"
"Theia_7591          ","m"
"UBC_600             ","m"
"UBC_1577            ","m"
"beta_Tuc_Group      ","m"
"Arp_2               ","g"
"BH_140              ","g"
"BH_176              ","g"
"BH_184              ","g"
"BH_229              ","g"
"BH_261              ","g"
"Djorg_1             ","g"
"E_3                 ","g"
"Eridanus            ","g"
"FSR_1716            ","g"
"FSR_1758            ","g"
"IC_4499             ","g"
"NGC_288             ","g"
"NGC_362             ","g"
"NGC_1261            ","g"
"NGC_1851            ","g"
"NGC_1904            ","g"
"NGC_2298            ","g"
"NGC_2419            ","g"
"NGC_2808            ","g"
"NGC_3201            ","g"
"NGC_4147            ","g"
"NGC_4372            ","g"
"NGC_4590            ","g"
"NGC_4833            ","g"
"NGC_5024            ","g"
"NGC_5053            ","g"
"NGC_5139            ","g"
"NGC_5272            ","g"
"NGC_5286            ","g"
"NGC_5466            ","g"
"NGC_5634            ","g"
"NGC_5694            ","g"
"NGC_5824            ","g"
"NGC_5897            ","g"
"NGC_5904            ","g"
"NGC_5927            ","g"
"NGC_5946            ","g"
"NGC_5986            ","g"
"NGC_6093            ","g"
"NGC_6101            ","g"
"NGC_6121            ","g"
"NGC_6139            ","g"
"NGC_6144            ","g"
"NGC_6171            ","g"
"NGC_6205            ","g"
"NGC_6218            ","g"
"NGC_6229            ","g"
"NGC_6235            ","g"
"NGC_6254            ","g"
"NGC_6256            ","g"
"NGC_6266            ","g"
"NGC_6273            ","g"
"NGC_6284            ","g"
"NGC_6293            ","g"
"NGC_6304            ","g"
"NGC_6316            ","g"
"NGC_6325            ","g"
"NGC_6333            ","g"
"NGC_6341            ","g"
"NGC_6342            ","g"
"NGC_6352            ","g"
"NGC_6355            ","g"
"NGC_6356            ","g"
"NGC_6362            ","g"
"NGC_6366            ","g"
"NGC_6380            ","g"
"NGC_6388            ","g"
"NGC_6397            ","g"
"NGC_6401            ","g"
"NGC_6402            ","g"
"NGC_6426            ","g"
"NGC_6440            ","g"
"NGC_6441            ","g"
"NGC_6453            ","g"
"NGC_6496            ","g"
"NGC_6517            ","g"
"NGC_6522            ","g"
"NGC_6535            ","g"
"NGC_6539            ","g"
"NGC_6541            ","g"
"NGC_6544            ","g"
"NGC_6553            ","g"
"NGC_6569            ","g"
"NGC_6584            ","g"
"NGC_6624            ","g"
"NGC_6626            ","g"
"NGC_6637            ","g"
"NGC_6638            ","g"
"NGC_6642            ","g"
"NGC_6652            ","g"
"NGC_6656            ","g"
"NGC_6681            ","g"
