"fname","N_clust","N_clust_max","Nbox","frame_limit"
ubc161,nan,nan,nan,""
ubc48,nan,nan,nan,""
ubc50,nan,nan,nan,""
ubc67,nan,nan,nan,""
vdbh19,nan,nan,nan,""
ubc140,nan,nan,nan,""
alessi6,nan,nan,nan,""
ubc65,nan,nan,nan,""
ubc112,nan,nan,nan,""
alessi17,nan,nan,nan,""
coingaia2,nan,nan,nan,""
gulliver2,nan,nan,nan,""
ubc37,nan,nan,nan,""
gulliver1,nan,nan,nan,""
ubc115,nan,nan,nan,""
czernik2,nan,nan,nan,""
ubc35,nan,nan,nan,""
ubc43,nan,nan,nan,""
ascc11,nan,nan,nan,""
ubc109,nan,nan,nan,""
ufmg1,nan,nan,nan,""
ubc117,nan,nan,nan,""
stock1,nan,nan,nan,""
ubc138,nan,nan,nan,""
ubc62,nan,nan,nan,""
ubc127,nan,nan,nan,""
ubc142,nan,nan,nan,""
haffner1,nan,nan,nan,""
gaia1,nan,nan,nan,""
ngc663,nan,nan,nan,""
ubc111,nan,nan,nan,""
ascc4,nan,nan,nan,""
ngc2516,nan,5000,nan,""
ngc2477,nan,5000,nan,""
ngc3532,nan,5000,nan,""
vdbh136,nan,5000,nan,""
ngc6791,nan,5000,nan,""
trumpler5,nan,5000,nan,""
ngc7789,nan,5000,3,""
alessi13,100,"nan","nan","nan"
alessi145,100,"nan","nan","nan"
alessi170,150,"nan","nan","nan"
alessi60,150,"nan","nan","nan"
ascc10,100,"nan","nan","nan"
ascc100,100,"nan","nan","nan"
ascc119,170,"nan","nan","nan"
ascc125,"nan",350,"nan","nan"
ascc27,50,"nan","nan","nan"
ascc45,130,"nan","nan","nan"
ascc47,170,"nan","nan","nan"
auner1,100,"nan","nan","nan"
basel8,50,"nan","nan","nan"
bdsb16,"nan",50,"nan","nan"
berkeley54,"nan",500,"nan","nan"
bica2,"nan",200,"nan","nan"
blanco1,"nan","nan",5,"nan"
coingaia11,150,"nan","nan","nan"
coingaia21,75,"nan","nan","nan"
collinder228,"nan",100,"nan","nan"
collinder232,"nan",100,"nan","nan"
collinder302,25,"nan","nan","nan"
cwnu1,"nan",184,"nan","nan"
cwnu10,"nan",67,"nan","nan"
cwnu100,"nan",46,"nan","nan"
cwnu1001,"nan",60,"nan","nan"
cwnu1002,"nan",54,"nan","nan"
cwnu1003,"nan",59,"nan","nan"
cwnu1004,"nan",38,"nan","nan"
cwnu1005,"nan",32,"nan","nan"
cwnu1006,"nan",41,"nan","nan"
cwnu1007,"nan",139,"nan","nan"
cwnu1008,"nan",44,"nan","nan"
cwnu1009,"nan",107,"nan","nan"
cwnu101,"nan",64,"nan","nan"
cwnu1010,"nan",48,"nan","nan"
cwnu1011,"nan",52,"nan","nan"
cwnu1012,"nan",107,"nan","nan"
cwnu1013,"nan",51,"nan","nan"
cwnu1014,"nan",104,"nan","nan"
cwnu1015,"nan",73,"nan","nan"
cwnu1016,"nan",56,"nan","nan"
cwnu1017,"nan",32,"nan","nan"
cwnu1018,"nan",67,"nan","nan"
cwnu1019,"nan",38,"nan","nan"
cwnu102,"nan",52,"nan","nan"
cwnu1020,"nan",198,"nan","nan"
cwnu1021,"nan",36,"nan","nan"
cwnu1022,"nan",35,"nan","nan"
cwnu1023,"nan",116,"nan","nan"
cwnu1024,"nan",302,"nan","nan"
cwnu1025,"nan",64,"nan","nan"
cwnu1026,"nan",46,"nan","nan"
cwnu1027,"nan",30,"nan","nan"
cwnu1028,"nan",30,"nan","nan"
cwnu1029,"nan",152,"nan","nan"
cwnu103,"nan",62,"nan","nan"
cwnu1030,"nan",94,"nan","nan"
cwnu1031,"nan",38,"nan","nan"
cwnu1032,"nan",49,"nan","nan"
cwnu1033,"nan",41,"nan","nan"
cwnu1034,"nan",75,"nan","nan"
cwnu1035,"nan",35,"nan","nan"
cwnu1036,"nan",28,"nan","nan"
cwnu1037,"nan",59,"nan","nan"
cwnu1038,"nan",174,"nan","nan"
cwnu1039,"nan",78,"nan","nan"
cwnu104,"nan",72,"nan","nan"
cwnu1040,"nan",48,"nan","nan"
cwnu1041,"nan",30,"nan","nan"
cwnu1042,"nan",68,"nan","nan"
cwnu1043,"nan",52,"nan","nan"
cwnu1044,"nan",699,"nan","nan"
cwnu1045,"nan",406,"nan","nan"
cwnu1046,"nan",52,"nan","nan"
cwnu1047,"nan",30,"nan","nan"
cwnu1048,"nan",32,"nan","nan"
cwnu1049,"nan",83,"nan","nan"
cwnu105,"nan",51,"nan","nan"
cwnu1050,"nan",54,"nan","nan"
cwnu1051,"nan",30,"nan","nan"
cwnu1052,"nan",28,"nan","nan"
cwnu1053,"nan",107,"nan","nan"
cwnu1054,"nan",67,"nan","nan"
cwnu1055,"nan",60,"nan","nan"
cwnu1056,"nan",56,"nan","nan"
cwnu1057,"nan",32,"nan","nan"
cwnu1058,"nan",97,"nan","nan"
cwnu1059,"nan",57,"nan","nan"
cwnu106,"nan",67,"nan","nan"
cwnu1060,"nan",25,"nan","nan"
cwnu1061,"nan",62,"nan","nan"
cwnu1062,"nan",51,"nan","nan"
cwnu1063,"nan",38,"nan","nan"
cwnu1064,"nan",25,"nan","nan"
cwnu1065,"nan",32,"nan","nan"
cwnu1066,"nan",35,"nan","nan"
cwnu1067,"nan",48,"nan","nan"
cwnu1068,"nan",92,"nan","nan"
cwnu1069,"nan",142,"nan","nan"
cwnu107,"nan",59,"nan","nan"
cwnu1070,"nan",75,"nan","nan"
cwnu1071,"nan",52,"nan","nan"
cwnu1072,"nan",46,"nan","nan"
cwnu1073,"nan",32,"nan","nan"
cwnu1074,"nan",35,"nan","nan"
cwnu1075,"nan",81,"nan","nan"
cwnu1076,"nan",48,"nan","nan"
cwnu1077,"nan",51,"nan","nan"
cwnu1078,"nan",57,"nan","nan"
cwnu1079,"nan",41,"nan","nan"
cwnu108,"nan",75,"nan","nan"
cwnu1080,"nan",40,"nan","nan"
cwnu1081,"nan",28,"nan","nan"
cwnu1082,"nan",788,"nan","nan"
cwnu1083,"nan",612,"nan","nan"
cwnu1084,"nan",83,"nan","nan"
cwnu1085,"nan",102,"nan","nan"
cwnu1086,"nan",48,"nan","nan"
cwnu1087,"nan",67,"nan","nan"
cwnu1088,"nan",30,"nan","nan"
cwnu1089,"nan",51,"nan","nan"
cwnu109,"nan",118,"nan","nan"
cwnu1090,"nan",108,"nan","nan"
cwnu1091,"nan",33,"nan","nan"
cwnu1092,"nan",28,"nan","nan"
cwnu1093,"nan",35,"nan","nan"
cwnu1094,"nan",27,"nan","nan"
cwnu1095,"nan",60,"nan","nan"
cwnu1096,"nan",38,"nan","nan"
cwnu1097,"nan",25,"nan","nan"
cwnu1098,"nan",112,"nan","nan"
cwnu1099,"nan",32,"nan","nan"
cwnu11,"nan",51,"nan","nan"
cwnu110,"nan",123,"nan","nan"
cwnu1100,"nan",48,"nan","nan"
cwnu1101,"nan",107,"nan","nan"
cwnu1102,"nan",62,"nan","nan"
cwnu1103,"nan",32,"nan","nan"
cwnu1104,"nan",52,"nan","nan"
cwnu1105,"nan",49,"nan","nan"
cwnu1106,"nan",33,"nan","nan"
cwnu1107,"nan",33,"nan","nan"
cwnu1108,"nan",25,"nan","nan"
cwnu1109,"nan",25,"nan","nan"
cwnu111,"nan",41,"nan","nan"
cwnu1110,"nan",28,"nan","nan"
cwnu1111,"nan",59,"nan","nan"
cwnu1112,"nan",118,"nan","nan"
cwnu1113,"nan",49,"nan","nan"
cwnu1114,"nan",70,"nan","nan"
cwnu1115,"nan",107,"nan","nan"
cwnu1116,"nan",43,"nan","nan"
cwnu1117,"nan",41,"nan","nan"
cwnu1118,"nan",70,"nan","nan"
cwnu1119,"nan",54,"nan","nan"
cwnu112,"nan",76,"nan","nan"
cwnu1120,"nan",28,"nan","nan"
cwnu1121,"nan",65,"nan","nan"
cwnu1122,"nan",198,"nan","nan"
cwnu1123,"nan",203,"nan","nan"
cwnu1124,"nan",89,"nan","nan"
cwnu1125,"nan",60,"nan","nan"
cwnu1126,"nan",41,"nan","nan"
cwnu1127,"nan",44,"nan","nan"
cwnu1128,"nan",115,"nan","nan"
cwnu1129,"nan",40,"nan","nan"
cwnu113,"nan",51,"nan","nan"
cwnu1130,"nan",59,"nan","nan"
cwnu1131,"nan",148,"nan","nan"
cwnu1132,"nan",44,"nan","nan"
cwnu1133,"nan",44,"nan","nan"
cwnu1134,"nan",41,"nan","nan"
cwnu1135,"nan",40,"nan","nan"
cwnu1136,"nan",1000,"nan","nan"
cwnu1137,"nan",38,"nan","nan"
cwnu1138,"nan",76,"nan","nan"
cwnu1139,"nan",57,"nan","nan"
cwnu114,"nan",84,"nan","nan"
cwnu1140,"nan",35,"nan","nan"
cwnu1141,"nan",131,"nan","nan"
cwnu1142,"nan",369,"nan","nan"
cwnu1143,"nan",64,"nan","nan"
cwnu1144,"nan",94,"nan","nan"
cwnu1145,"nan",64,"nan","nan"
cwnu1146,"nan",33,"nan","nan"
