"Name","Type"
"1636-283            ","o"
"ADS_16795           ","o"
"AH03_J0748+26.9     ","o"
"ASCC_5              ","o"
"ASCC_6              ","o"
"ASCC_9              ","o"
"ASCC_11             ","o"
"ASCC_12             ","o"
"ASCC_13             ","o"
"ASCC_14             ","o"
"ASCC_18             ","o"
"ASCC_19             ","o"
"ASCC_20             ","o"
"ASCC_21             ","o"
"ASCC_23             ","o"
"ASCC_24             ","o"
"ASCC_27             ","o"
"ASCC_28             ","o"
"ASCC_29             ","o"
"ASCC_30             ","o"
"ASCC_33             ","o"
"ASCC_36             ","o"
"ASCC_45             ","o"
"ASCC_51             ","o"
"ASCC_52             ","o"
"ASCC_58             ","o"
"ASCC_59             ","o"
"ASCC_60             ","o"
"ASCC_61             ","o"
"ASCC_62             ","o"
"ASCC_63             ","o"
"ASCC_65             ","o"
"ASCC_66             ","o"
"ASCC_67             ","o"
"ASCC_69             ","o"
"ASCC_71             ","o"
"ASCC_72             ","o"
"ASCC_73             ","o"
"ASCC_75             ","o"
"ASCC_77             ","o"
"ASCC_79             ","o"
"ASCC_84             ","o"
"ASCC_85             ","o"
"ASCC_87             ","o"
"ASCC_88             ","o"
"ASCC_90             ","o"
"ASCC_93             ","o"
"ASCC_94             ","o"
"ASCC_95             ","o"
"ASCC_99             ","o"
"ASCC_100            ","o"
"ASCC_101            ","o"
"ASCC_104            ","o"
"ASCC_105            ","o"
"ASCC_106            ","o"
"ASCC_107            ","o"
"ASCC_108            ","o"
"ASCC_110            ","o"
"ASCC_111            ","o"
"ASCC_113            ","o"
"ASCC_114            ","o"
"ASCC_115            ","o"
"ASCC_123            ","m"
"ASCC_125            ","o"
"ASCC_127            ","o"
"ASCC_128            ","o"
"AT_4                ","o"
"AT_21               ","o"
"Alessi_2            ","o"
"Alessi_3            ","o"
"Alessi_5            ","o"
"Alessi_6            ","o"
"Alessi_8            ","o"
"Alessi_9            ","o"
"Alessi_10           ","o"
"Alessi_12           ","o"
"Alessi_13           ","o"
"Alessi_17           ","o"
"Alessi_19           ","o"
"Alessi_20           ","o"
"Alessi_21           ","o"
"Alessi_22           ","o"
"Alessi_24           ","o"
"Alessi_31           ","o"
"Alessi_33           ","o"
"Alessi_34           ","o"
"Alessi_36           ","o"
"Alessi_37           ","o"
"Alessi_40           ","o"
"Alessi_43           ","o"
"Alessi_50           ","o"
"Alessi_53           ","o"
"Alessi_59           ","m"
"Alessi_60           ","o"
"Alessi_62           ","o"
"Alessi_72           ","o"
"Alessi_84           ","o"
"Alessi_94           ","o"
"Alessi_96           ","o"
"Alessi_116          ","o"
"Alessi_144          ","o"
"Alessi_145          ","m"
"Alessi_161          ","o"
"Alessi_170          ","o"
"Alessi_190          ","o"
"Alessi_191          ","o"
"Alessi_80B          ","o"
"Alessi_J0601.6+3531 ","o"
"Alessi_J0622.4+2114 ","o"
"Alessi_J1933.7+1147 ","o"
"Alessi_J2327.0+55   ","o"
"Alessi-Teutsch_3    ","o"
"Alessi-Teutsch_5    ","o"
"Alessi-Teutsch_8    ","o"
"Alessi-Teutsch_9    ","o"
"Alessi-Teutsch_10   ","o"
"Alessi-Teutsch_11   ","o"
"Alessi-Teutsch_12   ","o"
"Andrews-Lindsay_5   ","o"
"Antalova_1          ","o"
"Antalova_2          ","o"
"Archinal_1          ","o"
"Arp_2               ","g"
"Auner_1             ","o"
"Aveni-Hunter_1      ","o"
"BDSB_30             ","o"
"BDSB_82             ","o"
"BDSB_91             ","o"
"BDSB_93             ","o"
"BDSB_96             ","o"
"BDSB_124            ","o"
"BH_19               ","o"
"BH_23               ","o"
"BH_37               ","o"
"BH_54               ","o"
"BH_55               ","o"
"BH_56               ","o"
"BH_66               ","o"
"BH_67               ","o"
"BH_72               ","o"
"BH_73               ","o"
"BH_75               ","o"
"BH_78               ","o"
"BH_79               ","o"
"BH_84               ","o"
"BH_85               ","o"
"BH_87               ","o"
"BH_88               ","o"
"BH_90               ","o"
"BH_92               ","o"
"BH_99               ","o"
"BH_106              ","o"
"BH_110              ","o"
"BH_111              ","o"
"BH_118              ","o"
"BH_131              ","o"
"BH_132              ","o"
"BH_140              ","g"
"BH_144              ","o"
"BH_150              ","o"
"BH_151              ","o"
"BH_164              ","o"
"BH_176              ","g"
"BH_184              ","g"
"BH_200              ","o"
"BH_202              ","o"
"BH_205              ","o"
"BH_211              ","o"
"BH_217              ","o"
"BH_221              ","o"
"BH_222              ","o"
"BH_229              ","g"
"BH_231              ","o"
"BH_245              ","o"
"BH_261              ","g"
"Barkhatova_1        ","o"
"Basel_1             ","o"
"Basel_4             ","o"
"Basel_8             ","o"
"Basel_10            ","o"
"Basel_13            ","o"
"Basel_17            ","o"
"Basel_18            ","o"
"Basel_11A           ","o"
"Basel_11B           ","o"
"Berkeley_1          ","o"
"Berkeley_2          ","o"
"Berkeley_4          ","o"
"Berkeley_6          ","o"
"Berkeley_7          ","o"
"Berkeley_8          ","o"
"Berkeley_9          ","o"
"Berkeley_10         ","o"
"Berkeley_11         ","o"
"Berkeley_12         ","o"
"Berkeley_13         ","o"
"Berkeley_14         ","o"
"Berkeley_15         ","o"
"Berkeley_17         ","o"
"Berkeley_18         ","o"
"Berkeley_19         ","o"
"Berkeley_20         ","o"
"Berkeley_21         ","o"
"Berkeley_22         ","o"
"Berkeley_23         ","o"
"Berkeley_24         ","o"
"Berkeley_25         ","o"
"Berkeley_27         ","o"
"Berkeley_28         ","o"
"Berkeley_29         ","o"
"Berkeley_30         ","o"
"Berkeley_31         ","o"
"Berkeley_32         ","o"
"Berkeley_33         ","o"
"Berkeley_34         ","o"
"Berkeley_35         ","o"
"Berkeley_36         ","o"
"Berkeley_37         ","o"
"Berkeley_39         ","o"
"Berkeley_43         ","o"
"Berkeley_44         ","o"
"Berkeley_45         ","o"
"Berkeley_47         ","o"
"Berkeley_49         ","o"
"Berkeley_50         ","o"
"Berkeley_51         ","o"
"Berkeley_52         ","o"
"Berkeley_53         ","o"
"Berkeley_54         ","o"
"Berkeley_55         ","o"
"Berkeley_56         ","o"
"Berkeley_58         ","o"
"Berkeley_59         ","o"
"Berkeley_60         ","o"
"Berkeley_61         ","o"
"Berkeley_62         ","o"
"Berkeley_63         ","o"
"Berkeley_64         ","o"
"Berkeley_65         ","o"
"Berkeley_66         ","o"
"Berkeley_67         ","o"
"Berkeley_68         ","o"
"Berkeley_69         ","o"
"Berkeley_70         ","o"
"Berkeley_71         ","o"
"Berkeley_72         ","o"
"Berkeley_73         ","o"
"Berkeley_75         ","o"
"Berkeley_76         ","o"
"Berkeley_77         ","o"
"Berkeley_78         ","o"
"Berkeley_79         ","o"
"Berkeley_80         ","o"
"Berkeley_81         ","o"
"Berkeley_82         ","o"
"Berkeley_83         ","o"
"Berkeley_84         ","o"
"Berkeley_85         ","o"
"Berkeley_86         ","o"
"Berkeley_87         ","o"
"Berkeley_89         ","o"
"Berkeley_90         ","o"
"Berkeley_91         ","o"
"Berkeley_92         ","o"
"Berkeley_93         ","o"
"Berkeley_94         ","o"
"Berkeley_95         ","o"
"Berkeley_96         ","o"
"Berkeley_97         ","o"
"Berkeley_98         ","o"
"Berkeley_99         ","o"
"Berkeley_100        ","o"
"Berkeley_101        ","o"
"Berkeley_102        ","o"
"Berkeley_103        ","o"
"Berkeley_104        ","o"
"Berkeley_14A        ","o"
"Bica_2              ","o"
"Bica_3              ","o"
"Bica_631            ","o"
"Biurakan_2          ","o"
"Blanco_1            ","o"
"Bochum_1            ","o"
"Bochum_2            ","o"
"Bochum_3            ","o"
"Bochum_4            ","o"
"Bochum_10           ","o"
"Bochum_13           ","o"
"Bochum_14           ","o"
"Bochum_15           ","o"
"Briceno_1           ","o"
"CBJC_8              ","o"
"CMa_2               ","o"
"COIN-Gaia_3         ","o"
"COIN-Gaia_4         ","o"
"COIN-Gaia_5         ","o"
"COIN-Gaia_6         ","o"
"COIN-Gaia_7         ","o"
"COIN-Gaia_8         ","o"
"COIN-Gaia_9         ","o"
"COIN-Gaia_10        ","o"
"COIN-Gaia_11        ","o"
"COIN-Gaia_12        ","o"
"COIN-Gaia_13        ","m"
"COIN-Gaia_14        ","o"
"COIN-Gaia_15        ","o"
