"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G000.0+00.1","Dutra-Bica 58;Dutra Bica 58",266.268,-28.848,-0.048,0.09,0.434,-0.561,-1.615,-34.58,2.0,17.0,8.0,"BC","nan","nan"
"UCC G000.0-01.8","ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.8888,0.054,-1.841,0.278,-0.87,-2.801,"nan",0.0,15.0,6.2,"BB","nan","nan"
"UCC G000.0-01.4","VVV 151;VVV-CL 151",267.8215,-29.6568,-0.011,-1.432,0.249,-1.127,-2.895,7.144,1.0,11.0,7.0,"CB","nan","nan"
"UCC G000.0-00.2","DB 1;Dutra-Bica 1",266.7061,-29.0613,0.048,-0.299,0.402,-2.312,-4.523,-59.441,1.0,34.0,9.1,"DC","nan","nan"
"UCC G000.0+03.4","FSR 0001;MWSC 2622",263.0968,-27.0623,-0.007,3.485,-0.0,-3.638,-5.895,"nan",0.0,9.0,7.2,"BB","nan","nan"
"UCC G000.0+03.4a","FSR 0002;MWSC 2623",263.1351,-27.0684,0.036,3.418,0.153,-0.843,-5.611,83.806,1.0,16.0,6.9,"DC","nan","nan"
"UCC G000.0+02.1","Ryu 152",264.3703,-27.7632,0.04,2.137,-0.073,-5.281,-5.978,"nan",0.0,12.0,2.0,"DC","nan","nan"
"UCC G000.0+04.9","Ryu 537",261.7304,-26.1896,0.078,4.995,0.125,-4.065,-6.932,-2.72,2.0,21.0,1.9,"BC","nan","nan"
"UCC G000.1+00.0","Ryu 153",266.5132,-28.8768,0.102,-0.052,0.443,-0.702,-3.199,11.859,6.0,23.0,2.2,"BC","nan","nan"
"UCC G000.1-00.5","DB 2;Dutra-Bica 2",266.9982,-29.1223,0.118,-0.557,0.435,-0.776,-5.007,2.7,2.0,16.0,6.6,"DC","nan","nan"
"UCC G000.1+00.3","VVV 142;VVV-CL 142",266.1396,-28.6649,0.101,0.36,0.52,-0.349,-3.434,-2.913,5.0,23.0,7.4,"DC","nan","nan"
"UCC G000.1+04.5","Ryu 538",262.1084,-26.3659,0.127,4.575,0.066,-5.89,-4.143,"nan",0.0,21.0,2.1,"BD","nan","nan"
"UCC G000.1+00.9","DB 29;Dutra-Bica 29",265.5571,-28.3138,0.155,0.991,0.283,-3.186,-6.904,"nan",0.0,17.0,6.3,"DB","nan","nan"
"UCC G000.1-00.8","Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.3052,-29.2432,0.109,-0.838,0.355,-0.558,-1.626,18.13,2.0,13.0,7.3,"CB","nan","nan"
"UCC G000.1+00.0a","VVV 146;VVV-CL 146",266.5039,-28.8133,0.206,-0.058,0.489,0.294,-1.579,"nan",0.0,36.0,8.0,"DC","nan","nan"
"UCC G000.1+05.1","Ryu 539",261.5693,-26.0098,0.162,5.183,0.195,-2.879,-6.796,"nan",0.0,21.0,2.1,"CC","nan","nan"
"UCC G000.1-00.8a","UBC 1001",267.36,-29.23,0.168,-0.866,0.361,0.423,-1.952,25.83,1.0,39.0,4.1,"AA","nan","nan"
"UCC G000.1-00.8b","CWNU 3932",267.3337,-29.2017,0.187,-0.832,0.229,-1.341,-2.821,3.29,7.0,126.0,2.4,"AB","nan","nan"
"UCC G000.2-04.6","Ryu 540",271.1984,-31.1108,0.209,-4.661,0.258,0.049,-0.91,"nan",0.0,20.0,2.5,"CC","nan","nan"
