"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"KHARCHENKO2012","1061","Dutra-Bica 58",266.268,-28.848,0.0127,0.1483,"nan","nan","nan","dutrabica58","UCC G000.0+00.1","Q1P",8.6,0.87,0.6,"AB",77.0,0.006,0.134,266.274,-28.858,0.429,-0.112,-0.43,-11.754,1.0,"nan","nan"
"KHARCHENKO2012;BICA2019","1023;0","ESO 456 05;AL 2;Andrews-Lindsay 2;MWSC 2734",268.2709,-29.8888,0.0188,-1.8838,"nan","nan","nan","eso45605;al2;andrewslindsay2;mwsc2734","UCC G000.0-01.8","Q1N",6.0,0.93,1.0,"AA",37.0,0.026,-1.832,268.23,-29.875,0.362,-0.282,-1.936,23.022,3.0,"nan","nan"
"BICA2019","1","VVV 151;VVV-CL 151",267.8215,-29.6568,0.02,-1.43,"nan","nan","nan","vvv151;vvvcl151","UCC G000.0-01.4","Q1N",3.1,0.31,0.68,"CB",0.0,0.02,-1.428,267.841,-29.652,0.174,-1.905,-4.303,"nan",0.0,"nan","nan"
"BICA2019","2871","DB 1;Dutra-Bica 1",266.7061,-29.0613,0.03,-0.29,"nan","nan","nan","db1;dutrabica1","UCC G000.0-00.2","Q1N",1.8,0.63,0.28,"BC",0.0,0.044,-0.288,266.714,-29.057,0.398,-1.338,-2.951,24.157,4.0,"nan","nan"
"BICA2019","3488","FSR 0001;MWSC 2622",263.0968,-27.0623,0.03,3.47,"nan","nan","nan","fsr0001;mwsc2622","UCC G000.0+03.4","Q1P",7.6,0.09,0.51,"DB",34.0,-0.046,3.429,263.061,-27.122,0.052,-4.299,-2.589,-52.549,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019","1098;3489","FSR 0002;MWSC 2623",263.1351,-27.0684,0.0434,3.438,"nan","nan","nan","fsr0002;mwsc2623","UCC G000.0+03.4a","Q1P",6.9,0.43,0.54,"CB",0.0,0.033,3.388,263.163,-27.111,0.048,-4.502,-6.769,-0.852,2.0,"nan","nan"
"BICA2019","2","Ryu 152",264.3703,-27.7632,0.05,2.14,"nan","nan","nan","ryu152","UCC G000.0+02.1","Q1P",2.1,0.19,0.37,"DC",18.0,0.043,2.143,264.363,-27.762,0.0,-3.387,-5.077,-79.792,2.0,"nan","nan"
"BICA2019","3","Ryu 537",261.7304,-26.1896,0.09,4.97,"nan","nan","nan","ryu537","UCC G000.0+04.9","Q1P",1.1,0.42,0.27,"CC",0.0,0.093,4.967,261.734,-26.191,0.103,-3.198,-4.489,70.147,2.0,"nan","nan"
"BICA2019","4","Ryu 153",266.5132,-28.8768,0.1,-0.05,"nan","nan","nan","ryu153","UCC G000.1+00.0","Q1P",3.3,0.33,0.36,"CC",55.0,0.115,-0.078,266.544,-28.87,0.472,-0.795,-2.231,13.288,3.0,"nan","nan"
"BICA2019","3250","DB 2;Dutra-Bica 2",266.9982,-29.1223,0.11,-0.54,"nan","nan","nan","db2;dutrabica2","UCC G000.1-00.5","Q1N",4.5,0.2,0.45,"DC",25.0,0.096,-0.543,266.987,-29.122,0.386,-0.228,-0.698,6.343,2.0,"nan","nan"
"BICA2019","2872","VVV 142;VVV-CL 142",266.1396,-28.6649,0.11,0.34,"nan","nan","nan","vvv142;vvvcl142","UCC G000.1+00.3","Q1P",5.0,0.24,0.47,"DC",50.0,0.138,0.353,266.143,-28.636,0.496,0.057,-1.556,-24.851,2.0,"nan","nan"
"BICA2019","5","Ryu 538",262.1084,-26.3659,0.13,4.59,"nan","nan","nan","ryu538","UCC G000.1+04.5","Q1P",3.6,0.61,0.29,"BC",255.0,0.115,4.57,262.117,-26.385,0.036,-3.065,-5.647,-40.242,1.0,"nan","nan"
"BICA2019","3251","DB 29;Dutra-Bica 29",265.5571,-28.3138,0.14,0.96,"nan","nan","nan","db29;dutrabica29","UCC G000.1+00.9","Q1P",5.6,0.43,0.62,"CB",25.0,0.169,1.0,265.538,-28.297,0.186,-2.206,-3.858,-29.425,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019","1048;6","Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.3052,-29.2432,0.1447,-0.8319,"nan","nan","nan","ruprecht131;ocl2;eso45545;mwsc2706","UCC G000.1-00.8","Q1N",2.2,0.21,0.29,"DC",0.0,0.139,-0.825,267.302,-29.256,0.384,-1.068,-1.962,"nan",0.0,"nan","nan"
"BICA2019","2873","VVV 146;VVV-CL 146",266.5039,-28.8133,0.15,-0.01,"nan","nan","nan","vvv146;vvvcl146","UCC G000.1+00.0a","Q1P",6.3,0.69,0.46,"BC",6.0,0.179,-0.071,266.573,-28.834,0.437,-0.808,-2.051,-10.452,4.0,"nan","nan"
"BICA2019","7","Ryu 539",261.5693,-26.0098,0.16,5.19,"nan","nan","nan","ryu539","UCC G000.1+05.1","Q1P",1.2,0.24,0.27,"DC",0.0,0.154,5.199,261.554,-26.014,0.16,-2.92,-5.006,"nan",0.0,"nan","nan"
"CASTRO2022","0","UBC 1001",267.36,-29.23,0.1806,-0.8662,0.37,0.42,-1.94,"ubc1001","UCC G000.1-00.8a","Q1N",11.7,0.92,1.0,"AA",85.0,0.146,-0.932,267.364,-29.277,0.365,0.443,-1.928,-35.893,6.0,"nan","nan"
"HE2023_1","1066","CWNU 3932",267.3337,-29.2017,0.193,-0.8319,0.23,-1.33,-2.842,"cwnu3932","UCC G000.1-00.8b","Q1N",3.7,1.0,0.72,"AB",172.0,0.191,-0.834,267.332,-29.203,0.243,-1.335,-2.821,2.716,11.0,"nan","nan"
"BICA2019","8","Ryu 540",271.1984,-31.1108,0.21,-4.68,"nan","nan","nan","ryu540","UCC G000.2-04.6","Q1N",2.2,0.17,0.44,"DC",45.0,0.203,-4.681,271.2,-31.122,0.228,-0.291,-4.309,-22.093,5.0,"nan","nan"
"CASTRO2022","592","UBC 1593",267.03,-29.01,0.2206,-0.5058,0.58,0.57,-1.43,"ubc1593","UCC G000.2-00.5","Q1N",11.3,0.97,1.0,"AA",81.0,0.205,-0.516,267.027,-29.018,0.564,0.583,-1.401,"nan",0.0,"casado7;cwwdl7654","0.9;0.86"
"CASADO2021;HUNT2023;CAVALLO2024","5;1285;1246","Casado 7",267.0326,-28.9975,0.2324,-0.5012,0.572,0.527,-1.455,"casado7","UCC G000.2-00.5a","Q1N",6.3,0.59,0.86,"BA",85.0,0.209,-0.506,267.023,-29.019,0.561,0.583,-1.403,18.629,1.0,"cwwdl7654;ubc1593","0.92;0.9"
"CHI2023_2","450","CWWDL 7654",267.0515,-28.9924,0.2453,-0.5128,0.578,0.51,-1.354,"cwwdl7654","UCC G000.2-00.5b","Q1N",4.9,0.72,0.91,"BA",59.0,0.212,-0.506,267.023,-29.018,0.57,0.59,-1.404,"nan",0.0,"casado7;ubc1593","0.92;0.86"
"BICA2019","9","Cmg 451",265.8317,-28.3223,0.26,0.75,"nan","nan","nan","cmg451","UCC G000.2+00.7","Q1P",5.3,0.46,0.55,"CB",20.0,0.272,0.784,265.816,-28.299,0.376,-0.508,-2.577,-11.046,5.0,"nan","nan"
"KHARCHENKO2012;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","1032;10;1125;1139;4969;4281","Ruprecht 134;OCL 4;VDBH 252;vdBergh-Hagen 252;ESO 456 01;MWSC 2730",268.184,-29.537,0.2837,-1.6402,0.391,-1.653,-2.432,"ruprecht134;ocl4;vdbh252;vdberghhagen252;eso45601;mwsc2730","UCC G000.2-01.6","Q1N",5.1,1.0,1.0,"AA",404.0,0.285,-1.639,268.182,-29.533,0.396,-1.609,-2.445,-41.838,15.0,"nan","nan"
"HE2023_1","1770","CWNU 4605",274.6048,-32.5698,0.2877,-7.9197,0.064,-3.43,-4.784,"cwnu4605","UCC G000.2-07.9","Q1N",1.4,0.18,0.38,"DC",0.0,0.291,-7.926,274.613,-32.572,0.089,-3.536,-4.785,-47.92,1.0,"nan","nan"
"HE2023_1","1000","CWNU 3869",263.7613,-27.1282,0.2954,2.937,0.076,-2.352,-5.079,"cwnu3869","UCC G000.2+02.9","Q1P",3.1,0.28,0.73,"CB",35.0,0.29,2.934,263.756,-27.146,0.079,-2.349,-5.074,-35.355,2.0,"nan","nan"
"HUNT2023;CAVALLO2024","5167;4941","Theia 67",260.3357,-25.059,0.3296,6.6441,6.7528,-4.6682,-21.7809,"theia67","UCC G000.3+06.6","Q1P",57.1,0.94,0.48,"AC",45.0,0.045,7.213,259.964,-24.947,6.753,-4.638,-21.685,-3.402,23.0,"ocsn1","0.86"
"FERREIRA2021;HUNT2023;CAVALLO2024","25;6601;5937","UFMG 88",268.2039,-29.4787,0.3427,-1.6255,0.619,2.044,-1.617,"ufmg88","UCC G000.3-01.6","Q1N",6.3,0.95,1.0,"AA",36.0,0.344,-1.643,268.237,-29.495,0.641,2.107,-1.694,-24.835,5.0,"nan","nan"
"BICA2019","11","Ryu 541",267.0284,-28.8463,0.36,-0.42,"nan","nan","nan","ryu541","UCC G000.3-00.4","Q1N",1.8,0.16,0.3,"DC",60.0,0.357,-0.42,267.026,-28.849,0.394,-0.412,-2.043,-20.241,3.0,"nan","nan"
"BICA2019","3252","DB 18;Dutra-Bica 18;MWSC 2665",265.7101,-28.1151,0.38,0.95,"nan","nan","nan","db18;dutrabica18;mwsc2665","UCC G000.3+00.9","Q1P",6.9,0.58,0.58,"BB",50.0,0.333,0.977,265.672,-28.147,0.247,-2.558,-4.249,-39.647,2.0,"nan","nan"
"QIN2023","0","OCSN 1",260.16,-24.86,0.4053,6.8877,6.73,-4.75,-21.64,"ocsn1","UCC G000.4+06.8","Q1P",95.2,1.0,0.45,"AC",80.0,-0.036,7.213,259.702,-25.003,6.728,-4.766,-21.684,-3.718,35.0,"theia67","0.86"
"BICA2019","3478","Schmitz J1808.6-3116",272.1638,-31.2688,0.47,-5.48,"nan","nan","nan","schmitzj180863116","UCC G000.4-05.4","Q1N",2.1,0.29,0.63,"CB",0.0,0.465,-5.485,272.177,-31.276,0.187,-4.084,-6.193,"nan",0.0,"nan","nan"
"HE2023_1","2045","CWNU 4888",274.5667,-32.3451,0.4745,-7.7882,0.058,-3.272,-6.42,"cwnu4888","UCC G000.4-07.7","Q1N",4.4,0.62,0.67,"BB",28.0,0.46,-7.772,274.561,-32.361,0.058,-3.241,-6.412,3.456,8.0,"nan","nan"
"HUNT2023","1787","HSC 2",268.6274,-29.5311,0.4843,-1.9699,0.634,1.68,-1.182,"hsc2","UCC G000.4-01.9","Q1N",9.9,0.99,0.67,"AB",42.0,0.462,-1.926,268.557,-29.541,0.625,1.66,-1.198,"nan",0.0,"nan","nan"
"KHARCHENKO2012;LOKTIN2017","836;269","ESO 337 23",289.8275,-37.62,0.5061,-21.3376,"nan","nan","nan","eso33723","UCC G000.5-21.3","Q1N",4.0,0.29,0.23,"CD",0.0,0.515,-21.359,289.845,-37.593,0.272,-1.893,-5.392,"nan",0.0,"nan","nan"
"BICA2019","12","ESO 455 44",267.2614,-28.7591,0.54,-0.55,"nan","nan","nan","eso45544","UCC G000.5-00.5","Q1N",9.1,0.22,0.59,"DB",18.0,0.629,-0.607,267.299,-28.711,0.354,-0.615,-1.926,0.294,4.0,"nan","nan"
"HE2023_1","1987","CWNU 4831",270.2117,-30.2476,0.5488,-3.5177,0.096,-1.198,-3.281,"cwnu4831","UCC G000.5-03.5","Q1N",4.2,0.5,0.72,"BB",112.0,0.54,-3.514,270.206,-30.256,0.111,-1.191,-3.265,-118.686,3.0,"nan","nan"
"HUNT2023;CAVALLO2024","1788;2939","HSC 3",273.735,-31.8747,0.5673,-6.9462,0.647,0.371,0.21,"hsc3","UCC G000.5-06.9","Q1N",15.7,0.99,0.71,"AB",35.0,0.517,-6.955,273.727,-31.938,0.635,0.358,0.238,-24.204,10.0,"nan","nan"
"BICA2019","3253","DB 20;Dutra-Bica 20",265.8003,-27.9292,0.58,0.98,"nan","nan","nan","db20;dutrabica20","UCC G000.5+00.9","Q1P",5.0,0.34,0.48,"CC",4.0,0.618,1.032,265.743,-27.874,0.278,-2.737,-4.898,-14.711,2.0,"nan","nan"
"HUNT2023","1789","HSC 4",269.0722,-29.6381,0.5866,-2.358,0.112,2.125,-11.895,"hsc4","UCC G000.5-02.3","Q1N",2.1,0.67,0.38,"BC",82.0,0.58,-2.359,269.069,-29.639,0.124,2.05,-11.842,-130.743,1.0,"nan","nan"
"KHARCHENKO2012;HUNT2023;CAVALLO2024","1065;1333;1279","Collinder 351",267.3468,-28.7494,0.5869,-0.6092,0.439,-0.565,-1.136,"collinder351","UCC G000.5-00.6","Q1N",3.4,0.79,1.0,"AA",47.0,0.61,-0.683,267.434,-28.776,0.423,-0.499,-1.151,"nan",0.0,"ubc91","0.48"
"CANTAT2020;CASTRO2020;DIAS2021","1860;0;1584","UBC 91",267.433,-28.761,0.6158,-0.6799,0.42,-0.587,-1.126,"ubc91","UCC G000.6-00.6","Q1N",7.0,1.0,1.0,"AA",101.0,0.626,-0.69,267.446,-28.747,0.41,-0.617,-1.139,-36.777,7.0,"collinder351","0.48"
"BICA2019","13","DB 21;Dutra-Bica 21",265.824,-27.8952,0.62,0.98,"nan","nan","nan","db21;dutrabica21","UCC G000.6+00.9","Q1P",8.3,0.54,0.68,"BB",29.0,0.66,0.983,265.778,-27.838,0.285,-1.0,-2.159,-8.46,4.0,"nan","nan"
"HUNT2023","1790","HSC 5",276.7824,-33.0936,0.6448,-9.7899,0.657,0.15,-6.676,"hsc5","UCC G000.6-09.7","Q1N",13.5,0.16,0.43,"DC",7.0,0.612,-9.789,276.786,-33.113,0.588,0.079,-6.684,-43.665,1.0,"nan","nan"
"CASTRO2022","566","UBC 1567",269.01,-29.51,0.6703,-2.2469,0.38,-0.1,-0.47,"ubc1567","UCC G000.6-02.2","Q1N",2.9,1.0,1.0,"AA",47.0,0.675,-2.251,269.021,-29.503,0.382,-0.078,-0.48,20.849,2.0,"ufmg92;cwwdl4491","0.99;0.9"
"CHI2023_2","378","CWWDL 4491",269.0125,-29.5099,0.6715,-2.2487,0.392,-0.108,-0.546,"cwwdl4491","UCC G000.6-02.2a","Q1N",3.9,1.0,1.0,"AA",108.0,0.681,-2.251,269.02,-29.508,0.381,-0.087,-0.493,-18.645,5.0,"ubc1567;ufmg92","0.9;0.9"
"KHARCHENKO2012;BICA2019;CANTAT2020;DIAS2021;TARRICQ2022;HE2022_1;HUNT2023;CAVALLO2024","949;14;502;416;94;164;1685;1629","ASCC 96;Ferrero 1;Slotegraaf 61;MWSC 2893",275.063,-32.338,0.6741,-8.1581,1.145,0.149,-4.809,"ascc96;ferrero1;slotegraaf61;mwsc2893","UCC G000.6-08.1","Q1N",10.0,1.0,0.9,"AA",124.0,0.64,-8.141,275.039,-32.363,1.145,0.16,-4.839,-6.633,37.0,"nan","nan"
"HUNT2023","1791","HSC 6",267.7072,-28.8246,0.6844,-0.9189,0.252,-0.292,-1.516,"hsc6","UCC G000.6-00.9","Q1N",4.3,0.09,0.97,"DA",63.0,0.705,-0.915,267.714,-28.805,0.283,-0.273,-1.483,-7.872,4.0,"nan","nan"
"FERREIRA2021;HUNT2023;CAVALLO2024","29;6605;5941","UFMG 92",269.029,-29.5026,0.685,-2.2575,0.39,-0.095,-0.471,"ufmg92","UCC G000.6-02.2b","Q1N",2.8,1.0,1.0,"AA",85.0,0.675,-2.251,269.021,-29.508,0.382,-0.081,-0.48,-18.645,5.0,"ubc1567;cwwdl4491","0.99;0.9"
